Location (m),"Magnetic Field, stack (nT)","Magnetic Field, KS4259 (nT)","Magnetic Field, RETZEPIS (nT)","Magnetic Field, sh3770 (nT)","Magnetic Field, ZNZHANG (nT)","Magnetic Field, whaarlow (nT)","Magnetic Field, na3676 (nT)","Magnetic Field, bboyd (nT)","Magnetic Field, cg0677 (nT)","Magnetic Field, lpowens (nT)","Magnetic Field, akanehw (nT)"
43.0,501671.569,50854.742,50161.257,50873.223000000005,50854.742,50383.697,50885.236,52618.727,47376.772000000004,46839.757,50823.416000000005
44.0,500980.84300000005,50536.458000000006,50210.865,50905.893,50536.458000000006,50506.968,50714.770000000004,52396.188,47297.372,46839.757,51036.114
45.0,502374.713,51004.559,50107.734000000004,50799.712999999996,51004.559,50831.248999999996,50702.675,52396.188,47637.853,47020.338,50869.845
46.0,501702.414,50826.14,50240.755999999994,50726.678,50826.14,50485.038,50809.25,52579.044,47261.710999999996,47142.904,50804.753
47.0,503051.80700000003,50713.771,50579.587,50958.911,50713.771,50724.462,50574.207,52817.171,47704.467000000004,46910.365,51355.095
48.0,502407.37100000004,51193.524,50622.536,50767.438,51193.524,50383.445,50477.636,52458.475999999995,47110.994,47067.901,51131.897000000004
49.0,502875.964,51089.018000000004,50379.97,51232.581000000006,51089.018000000004,50569.432,50741.5,52454.263,47254.854999999996,46912.765999999996,51152.561
50.0,503261.891,50991.41,50538.041,50888.570999999996,50991.41,50336.879,50470.402,52504.757,47297.53,47313.037000000004,51929.854
51.0,502010.843,50910.443,50742.303,50981.914000000004,50910.443,50499.936,50874.201,52432.109,46929.797999999995,46615.797999999995,51113.898
52.0,501668.968,50694.049,50592.865000000005,50696.348999999995,50694.049,50599.666999999994,50783.239,52225.371,46979.103,46770.919,51633.356999999996
53.0,500867.505,50936.54,50697.609,50660.563,50936.54,50245.621999999996,50760.586,52193.871999999996,46821.717,46394.106999999996,51220.349
54.0,502359.23899999994,51067.549,50368.614,50757.981,51067.549,50700.005,50795.380000000005,52193.871999999996,47009.169,47073.805,51325.315
55.0,501668.526,50840.149,50533.719,50513.964,50840.149,50545.36,50670.566999999995,52122.960999999996,47555.256,46718.373999999996,51328.027
56.0,502007.68100000004,51149.685,50423.941,50689.906,51149.685,50846.382,50465.17999999999,52174.079,47354.367000000006,46644.348999999995,51110.106999999996
57.0,502180.90699999995,51128.805,50763.572,50311.706999999995,51128.805,50617.669,50527.811,52023.257,47270.263,47248.945,51160.073
58.0,502060.188,51102.688,50753.898,50379.555,51102.688,50648.073,50777.206,51756.075000000004,47441.353,46506.602999999996,51592.049000000006
59.0,503069.65699999995,51020.862,50765.653999999995,50639.926,51020.862,50697.848999999995,50703.92,52229.132,47485.624,46642.659999999996,51863.168000000005
60.0,502231.34,51178.468,51012.062,50738.788,51178.468,50782.606,50404.055,51552.759,47269.774,46735.351,51379.009000000005
61.0,503069.851,51242.4,50750.67,50542.291,51242.4,51170.322,50458.759999999995,51552.759,47235.712,47363.53,51511.007
62.0,502763.869,50745.396,51015.179000000004,50528.852999999996,50745.396,50843.131,50526.157,52213.96,48000.257,47001.32,51144.219999999994
63.0,501954.38300000003,51003.221000000005,50680.296,50556.612,51003.221000000005,50808.679,50664.371,51941.777,46983.355,47395.19,50917.661
64.0,503276.265,51367.562,50800.183,50298.325,51367.562,50374.564,50764.311,52392.045000000006,47304.448000000004,47103.941,51503.324
65.0,502656.984,50762.452000000005,50903.227999999996,50620.852,50762.452000000005,50880.561,50458.516,52240.315,47312.668000000005,47312.731,51403.208999999995
66.0,503272.642,50893.85,50964.753000000004,50530.41,50893.85,50639.885,50794.593,52462.115,47516.457,46990.723000000005,51586.005999999994
67.0,502704.996,50820.782999999996,50535.189000000006,50607.303,50820.782999999996,50353.916,50289.592,52506.805,47663.457,47564.354999999996,51542.813
68.0,503045.4110000001,51001.696,50906.723,50377.97,51001.696,50489.803,50060.954000000005,52537.846000000005,47691.460999999996,47783.200000000004,51194.062000000005
69.0,502171.408,51027.846,50576.256,50688.393,51027.846,50035.64,50499.80699999999,52543.936,47456.676999999996,47099.835,51215.172000000006
70.0,501719.726,50906.144,50969.966,50615.784,50906.144,50378.145000000004,50186.206,52543.936,47366.068,46953.701,50893.632
71.0,504028.3770000001,51248.972,51123.157999999996,50455.489,51248.972,50642.11,50550.731,52638.737,47498.87300000001,47145.772000000004,51475.563
72.0,504048.7259999999,51554.114,50827.294,50571.078,51554.114,50509.786,50545.464,52618.583,47318.897,47096.04,51453.356
73.0,502272.283,51134.096999999994,50665.553,50555.551999999996,51134.096999999994,50563.566,51039.907999999996,52504.756,47031.385,47045.96,50597.409
74.0,502921.265,50904.581999999995,50835.568,50992.484,50904.581999999995,50287.832,51166.331999999995,52830.384000000005,46939.126000000004,47145.772000000004,50914.603
75.0,502629.14400000003,51034.942,50539.273,50887.494,51034.942,50152.768000000004,50635.977,52697.193,47101.217,47298.573,51246.76500000001
76.0,502062.021,51181.584,50515.632,50935.406,51181.584,50068.861,50488.626,52592.908,46235.157999999996,47239.874,51622.388
77.0,502296.118,51034.121,50431.717,50942.839,51034.121,50122.932,50567.733,52281.937999999995,47568.162000000004,47010.286,51302.269
78.0,502810.73900000006,51293.888,51090.898,50847.608,51293.888,50450.07,50690.112,52292.718,46382.761,46674.106999999996,51794.689
79.0,503421.506,51258.922,51080.134,50633.655,51258.922,50361.584,50599.263999999996,52380.376,47620.323,46851.539000000004,51376.787
80.0,502117.52600000007,51107.481,50893.259999999995,50512.030000000006,51107.481,50363.534,50619.89,52119.483,46990.286,46927.137,51476.944
81.0,503179.928,51220.008,50817.284999999996,50891.812,51220.008,50404.437,50556.047,52211.096,47101.644,47213.116,51544.475
82.0,503254.88,51304.176,51071.079,50892.006,51304.176,50570.379,50981.778,52400.92,46866.933000000005,46628.898,51234.535
83.0,504578.72400000005,51221.787,50980.742999999995,51070.647000000004,51221.787,50595.505000000005,50917.215,52585.847,47116.961,47253.62899999999,51614.603
84.0,503763.968,51315.664,50922.183,50828.291999999994,51315.664,50636.106,50528.195,52413.636,47320.941,46869.993,51613.294
85.0,502035.35400000005,51134.694,51057.802,51017.91,51134.694,50505.848,50502.046,52310.243,46817.616,46131.676,51422.825000000004
86.0,503493.43400000007,51153.935,50949.590000000004,50629.022,51153.935,50609.603,50486.556,52477.71,47186.295,47520.997,51325.791000000005
87.0,502206.4979999999,50955.373,50712.323,50413.457,50955.373,50731.511,50271.465,52835.823,47123.945999999996,46843.170999999995,51364.056
88.0,504072.69399999996,51086.288,51096.077,50834.209,51086.288,50567.726,50742.803,52835.823,46874.229,46904.795999999995,52044.455
89.0,502921.03699999995,51071.024000000005,50940.221,50533.794,51071.024000000005,50247.861,50523.688,53014.181000000004,47056.932,46939.441,51522.871
90.0,502861.986,50869.906,51313.842000000004,50766.318,50869.906,50703.212999999996,50706.903,52667.014,46897.678,47198.937999999995,50868.268000000004
91.0,503489.68399999995,51192.121999999996,51095.688,50569.699,51192.121999999996,50339.740999999995,50844.149000000005,52933.061,47115.185,46838.062999999995,51369.854
92.0,502870.86899999995,50917.879,50480.165,50454.476,50917.879,50603.967,50862.383,52949.346,47303.354,47045.222,51336.198000000004
93.0,502308.256,51148.117,50795.423,50844.229,51148.117,50243.83,50756.683000000005,52412.484,46882.104,46708.446,51368.823
94.0,503417.289,51231.488,50935.882,50718.078,51231.488,50797.578,50656.077000000005,52415.068,47383.323,46512.494,51535.812999999995
95.0,503038.9260000001,51227.613,50611.136,50876.918000000005,51227.613,50513.97,50739.232,52415.068,47233.285,46544.788,51649.303
96.0,501512.76499999996,50853.194,50364.988,50840.028,50853.194,50344.989,50524.753,52389.263,47089.868,46880.195,51372.293
97.0,502504.477,50946.754,50754.876000000004,50796.076,50946.754,50143.596000000005,50804.571,52542.856,46923.814,47106.904,51538.276000000005
98.0,502740.524,50882.174,50437.651000000005,50858.37,50882.174,50216.313,50895.379,52900.623,46761.713,47090.87,51815.257000000005
99.0,500258.30199999997,50811.403,50100.11,50615.029,50811.403,50196.562999999995,50693.013999999996,53100.6,46783.386999999995,46770.319,50376.474
100.0,500962.9389999999,50591.905,50602.215000000004,50603.523,50591.905,50702.308000000005,50223.566,53187.187,47006.992,46781.814,50671.524
101.0,501701.22699999996,50770.308,50557.897,50512.644,50770.308,50453.604,50777.284,53187.187,47075.031,46781.619999999995,50815.344000000005
102.0,502365.929,50881.685,51026.693999999996,50935.789,50881.685,50494.225,50373.603,53100.451,46773.193999999996,46886.135,51012.468
103.0,503362.13500000007,50839.362,50846.798,50817.973000000005,50839.362,50202.478,50616.563,53180.191,46883.944,47557.189,51578.275
104.0,502000.657,51091.518000000004,50876.708,50828.567,51091.518000000004,50493.102999999996,50253.531,52609.24,47000.324,46540.553,51215.595
105.0,503242.393,51120.112,50604.164,50961.327,51120.112,50452.439,50512.645,52541.212999999996,47163.761999999995,47294.096000000005,51472.523
106.0,501923.871,51213.659,50721.63,50642.668999999994,51213.659,50703.388,50445.576,52826.572,46281.855,46881.674,50993.189
107.0,502478.89900000003,51083.90700000001,50755.852,51051.627,51083.90700000001,50425.217000000004,50349.547999999995,52721.341,46816.827000000005,47006.056000000004,51184.617000000006
108.0,503536.476,50963.836,50661.275,51076.712999999996,50963.836,50576.371,50690.990999999995,52576.412,47039.125,47101.612,51886.305
109.0,501578.75299999997,51101.280000000006,50653.044,50702.187000000005,51101.280000000006,50549.394,50440.25,52386.974,46960.055,46411.113,51273.176
110.0,501632.061,50792.761,51242.409,50788.182,50792.761,50596.901000000005,50387.340000000004,52048.338,46573.898,46994.262,51415.208999999995
111.0,503251.076,51043.551999999996,51234.611000000004,50603.335999999996,51043.551999999996,50612.183000000005,50458.351,52548.493,46818.707,47393.426,51494.865
112.0,502323.065,50952.661,50841.558999999994,50373.223000000005,50952.661,50697.773,50692.78,52277.943,47203.927,46785.011,51545.527
113.0,502114.641,51163.562,50888.029,50738.754,51163.562,50720.13,50353.86,52246.602000000006,46927.519,46611.674999999996,51300.948
114.0,502534.18200000003,50976.626000000004,51072.522,50601.54,50976.626000000004,50128.448,50734.265,52393.893,46883.683,46863.776,51902.803
115.0,503121.19399999996,50700.242000000006,50861.415,50929.416000000005,50700.242000000006,50676.583999999995,50784.123,52215.046,47249.174,47400.787000000004,51604.165
116.0,502252.35900000005,51056.052,50941.611000000004,50684.968,51056.052,50252.759,50605.003000000004,52215.046,46611.255999999994,47321.71000000001,51507.902
117.0,503313.422,51053.26,50891.73,50684.745,51053.26,50597.444,50961.657,52748.936,46560.791000000005,47038.294,51723.305
118.0,502753.88499999995,50830.606,50861.415,50705.962,50830.606,50254.193999999996,50971.071,52770.551,46761.435,47084.828,51683.217
119.0,503832.384,51120.818,50896.664000000004,50951.737,51120.818,50809.88,50857.765,52639.299999999996,46667.872,47233.73,51533.8
120.0,502825.12299999996,50959.622,50682.799000000006,51255.615,50959.622,50509.096,50913.766,52578.566,46522.09,47083.698,51360.249
121.0,503153.456,51016.094000000005,50645.511,50942.895,51016.094000000005,50523.562,50730.236,52734.876,46785.14,47014.969,51744.079
122.0,503634.545,51181.313,51115.741,51043.661,51181.313,50348.66,50582.600999999995,52774.791,47110.553,46830.375,51465.537
123.0,503234.024,51092.706999999995,51017.957,51164.191,51092.706999999995,50487.071,50478.363000000005,52738.007000000005,46948.699,47144.551,51069.771
124.0,503820.34800000006,51247.539000000004,50823.388,51047.485,51247.539000000004,50095.896,51046.549,52738.007000000005,46501.901,47215.78,51856.264
125.0,504645.476,51139.567,51015.394,51102.583000000006,51139.567,50473.753000000004,50842.894,53081.621,46719.591,47425.043000000005,51705.463
126.0,503180.53599999996,51025.176,50794.271,50791.513,51025.176,50465.262,50609.138999999996,52623.943,46784.113,47312.941,51749.002
127.0,503033.4309999999,51251.422,50821.057,50857.299,51251.422,50530.427,50871.882,52679.723000000005,46968.241,47021.273,50780.685
128.0,504855.3689999999,51323.145,51316.964,50928.153,51323.145,50897.42,51074.567,53141.475,46702.671,47160.600000000006,50987.229
129.0,504057.46699999995,51408.318999999996,50922.312,50917.081000000006,51408.318999999996,50702.577,51104.008,53000.808999999994,46285.174,46702.003,51606.865
130.0,503741.421,51356.782,50839.755,50963.780999999995,51356.782,50506.635,50934.722,53034.711,46593.262,46970.061,51184.93
131.0,503906.54800000007,50978.553,51199.444,51043.187000000005,50978.553,51055.078,50677.653,52905.562000000005,46139.358,47621.06,51308.100000000006
132.0,503004.472,51068.096,50614.566000000006,50794.482,51068.096,50853.062,50748.812,53119.145000000004,46592.708,47017.308999999994,51128.196
133.0,501541.58,50899.831,50783.920000000006,50849.362,50899.831,50444.605,50959.325999999994,53077.123,46695.43199999999,46336.585,50595.565
134.0,502107.27699999994,51346.707,50727.80499999999,50719.506,51346.707,50546.485,50471.756,52561.147,46336.895,47105.002,50945.267
135.0,501392.936,50837.204,50855.92,50711.843,50837.204,50650.202,50686.383,52776.665,45754.401,46933.884,51349.229999999996
136.0,503091.419,51148.507000000005,51239.165,50634.712,51148.507000000005,50264.075,50637.522,52841.423,46720.392,47344.517,51112.599
137.0,503287.7309999999,51259.244000000006,51165.721,51017.1,51259.244000000006,50578.311,50499.734,52685.094999999994,47021.473,46847.502,50954.307
138.0,502690.914,51059.593,50925.064999999995,51121.771,51059.593,50256.960999999996,50610.412,52469.021,46538.875,47126.415,51523.208
139.0,501290.03200000006,50785.466,50992.257000000005,51000.164,50785.466,50127.670000000006,50713.632,52479.777,46264.406,46764.560000000005,51376.634000000005
140.0,502078.802,50773.254,51011.046,50958.666,50773.254,50436.299,50639.969,52420.466,46410.778,46967.543999999994,51687.526
141.0,502450.7860000001,50854.844,50700.422000000006,50894.475,50854.844,50547.777,50709.167,52477.079000000005,46854.466,46871.136999999995,51686.575
142.0,502024.23799999995,50642.418999999994,51015.816999999995,50654.558000000005,50642.418999999994,50634.486000000004,50705.147,52999.924,46255.198,46869.622,51604.648
143.0,501425.107,50764.28,50963.796,50625.594999999994,50764.28,50440.939999999995,50741.863000000005,52915.184,46252.621,47242.668000000005,50713.880000000005
144.0,500407.391,50753.515999999996,50615.997,50635.754,50753.515999999996,50221.792,50922.603,52609.153,45920.972,46643.593,51330.495
145.0,501055.377,50775.9,50670.54,50750.848,50775.9,50126.365,50796.197,52627.769,46400.135,46744.066,51387.657
146.0,502660.06799999997,50995.952000000005,50859.626,50763.735,50995.952000000005,50150.79,50926.072,52533.307,46339.087999999996,47416.826,51678.72
147.0,502399.271,51091.412,51046.743,50677.295999999995,51091.412,49988.504,50552.978,52946.037,46590.466,47066.051,51348.371999999996
148.0,503019.73900000006,50780.056000000004,50950.25,50795.759,50780.056000000004,50689.378,50875.183,52914.445,46480.56,47095.334,51658.718
149.0,501621.554,50605.344000000005,51137.251,50606.108,50605.344000000005,50457.981,50796.886,52481.973000000005,46313.376,46651.829999999994,51965.460999999996
150.0,501929.60300000006,51107.11,51319.848,50826.545000000006,51107.11,50129.942,51079.498999999996,52471.183000000005,45844.445999999996,46578.46,51465.46
151.0,503619.968,51193.74,51153.714,50714.05699999999,51193.74,50589.996,50802.988999999994,52753.369,46775.337,46769.945,51673.081000000006
152.0,501994.869,50869.494000000006,51484.573,50629.406,50869.494000000006,50312.511,50793.936,52154.916999999994,46118.636,46789.327999999994,51972.574
153.0,502942.4110000001,51111.456,51334.443999999996,50866.708000000006,51111.456,50412.691,50447.058,52025.683,46567.651,47177.449,51887.815
154.0,501807.40699999995,50820.219000000005,51279.68,50715.751,50820.219000000005,50465.225,50644.558000000005,52786.257,46102.511999999995,47060.42999999999,51112.556
