Location (m),"Magnetic Field, stack (nT)","Magnetic Field, KS4259 (nT)","Magnetic Field, RETZEPIS (nT)","Magnetic Field, sh3770 (nT)","Magnetic Field, ZNZHANG (nT)","Magnetic Field, whaarlow (nT)","Magnetic Field, na3676 (nT)","Magnetic Field, bboyd (nT)","Magnetic Field, cg0677 (nT)","Magnetic Field, lpowens (nT)","Magnetic Field, akanehw (nT)"
195.0,503030.13,51076.323000000004,51375.493,51262.58700000001,51076.323000000004,50562.935000000005,50695.402,52671.648,46339.464,47066.162,50903.793
196.0,502495.845,50575.535,51449.507,51042.78999999999,50575.535,50573.984000000004,50719.164,52395.076,46902.904,46880.534,51380.816000000006
197.0,500471.194,50402.397,51087.879,50784.148,50402.397,50358.74,50481.511,52048.627,46445.362,47563.348,50896.785
198.0,501110.37500000006,50779.093,51103.911,50897.558,50779.093,50511.187,50298.799,52268.721,46381.841,47236.046,50854.126000000004
199.0,501141.75399999996,50898.584,50709.654,50978.941,50898.584,50191.064,50514.316,52509.611999999994,46775.703,46699.165,50966.130999999994
200.0,501769.436,51012.11,51098.954,50978.681000000004,51012.11,50472.263,50919.511,52734.917,46300.111000000004,46499.505999999994,50741.273
201.0,502407.15800000005,50944.161,51276.915,51264.116,50944.161,50548.67,50624.530999999995,53076.887,46176.388000000006,46823.434,50727.895
202.0,501386.72199999995,50839.398,50894.585999999996,51395.282999999996,50839.398,50471.809,50417.49,52522.371999999996,46703.203,46557.408,50745.775
203.0,502379.58900000004,51147.798,51492.095,50903.287,51147.798,50045.045,50532.793,52519.219999999994,46324.596,46725.356,51541.601
204.0,501505.892,50783.195999999996,50784.051,50794.348999999995,50783.195999999996,50284.72,50745.793999999994,52548.954000000005,46274.893,47107.971999999994,51398.767
205.0,503854.651,51071.085,50880.803,50552.380999999994,51071.085,50185.854,50876.302,52430.36,46329.957,46863.489,53593.33500000001
206.0,503735.65900000004,50797.054000000004,51617.113000000005,50844.053,50797.054000000004,50370.323,50665.537000000004,52305.21,46130.0,46801.087,53408.228
207.0,505612.688,51200.666,51145.615999999995,50962.636000000006,51200.666,50501.867,50906.613999999994,52427.042,46842.932,46608.613,53816.036
208.0,505366.04699999996,51580.303,50999.257999999994,50739.034,51580.303,50345.810999999994,50694.315,51804.145,46690.485,47229.054,53703.339
209.0,503652.66200000007,51527.657,51088.442,50720.743,51527.657,50504.336,50502.88,51523.715000000004,46699.612,46838.185000000005,52719.435
210.0,505582.27700000006,51775.682,51210.216,50975.757000000005,51775.682,50212.527,50638.118,52133.049,46491.151000000005,46950.347,53419.748
211.0,507921.1609999999,51753.988999999994,51214.377,50907.499,51753.988999999994,50258.172,51167.918999999994,52587.261,46326.719,46761.185,55190.051
212.0,513018.221,52487.0,51344.485,51219.719,52487.0,50240.193,51504.378000000004,53573.652,46684.114,47372.284999999996,56105.395000000004
213.0,513351.6769999999,52082.257,51521.556,51399.36,52082.257,50348.572,51786.306000000004,54179.24,47451.845,47372.284999999996,55127.999
214.0,516025.17000000004,52139.059,52192.863000000005,51604.765,52139.059,51103.912000000004,52054.109,54280.335,47577.216,47703.886,55229.966
215.0,517096.9170000001,52606.259,52257.145000000004,52815.565,52606.259,51584.341,52278.993,54183.563,47756.503000000004,46539.753,54468.536
216.0,517002.413,52277.792,52360.185,52894.932,52277.792,51301.006,52236.905,54392.879,47934.74,46986.129,54340.053
217.0,515784.143,52166.181000000004,52549.268,52746.763999999996,52166.181000000004,51337.494,51814.263,54502.325,47321.446,47251.486999999994,53928.734
218.0,514059.5839999999,52104.483,52556.465000000004,53078.077,52104.483,51190.064,51609.442,53733.659,47418.675,46848.506,53415.73
219.0,516371.60500000004,52278.46799999999,52558.211,53132.258,52278.46799999999,51781.361,51580.153000000006,53752.253000000004,47786.373,47219.164,54004.896
220.0,513908.86899999995,51860.922,52621.839,52783.777,51860.922,51482.346999999994,51626.246999999996,53541.115,47517.759,46740.203,53873.738000000005
221.0,515838.11699999997,52382.030999999995,52523.254,53008.195999999996,52382.030999999995,51436.541,51504.715,53600.918999999994,47844.721999999994,46903.174999999996,54252.533
222.0,514985.858,51947.028000000006,52432.744,53054.339,51947.028000000006,51327.514,51668.407999999996,54012.357,47543.380999999994,46470.483,54582.576
223.0,518654.51300000004,52521.966,52678.946,53023.032,52521.966,51975.899,52376.184,53972.875,47770.713,47266.618,54546.314000000006
224.0,520291.37799999997,52534.875,53049.556000000004,53393.459,52534.875,51947.099,51920.768000000004,54163.082,48766.536,47050.175,54930.953
225.0,523087.939,53117.984,52951.013000000006,53526.212999999996,53117.984,52552.025,52729.369,54478.602,49019.077000000005,47191.88,54403.792
226.0,519198.52800000005,52927.225,52910.736,53638.278,52927.225,52543.132,52322.842000000004,54143.284,48100.924,47295.205,52389.676999999996
227.0,515769.32700000005,52484.575,52283.277,53124.182,52484.575,52289.987,52378.745,54178.252,47906.346,47124.901,51514.487
228.0,515137.34900000005,52388.911,51908.531,52487.177,52388.911,52222.026999999995,52847.465,54061.085,47793.351,47391.99,51647.901
229.0,513574.61300000007,52205.429000000004,51952.744000000006,52613.041000000005,52205.429000000004,52081.454,52205.199,53696.765999999996,47609.740000000005,47416.176999999996,51588.634
230.0,511486.24000000005,52066.594000000005,52370.352,52382.467,52066.594000000005,51812.672,51603.158,53170.394,46930.590000000004,47450.425,51632.994
231.0,510182.90699999995,51825.549,51765.223,52046.87899999999,51825.549,51875.829000000005,51602.507000000005,52896.14,47205.398,47423.479999999996,51716.352999999996
232.0,505219.158,50933.265,51706.788,51426.679,50933.265,51309.059,51329.606,52692.284,46281.651,47555.522000000004,51051.039000000004
233.0,504472.832,50664.212999999996,51432.348,51425.105,50664.212999999996,51433.056000000004,50989.30699999999,52595.498,46380.637,47340.829999999994,51547.625
234.0,503979.299,51024.218,50837.609000000004,51165.203,51024.218,50900.922999999995,50955.679000000004,52434.021,46212.792,47841.414,51583.222
235.0,503068.246,50624.842000000004,50870.013999999996,50989.403000000006,50624.842000000004,50991.222,50617.91,52421.638,46551.473,47677.886999999995,51699.015
236.0,501925.823,50969.329000000005,51093.946,50730.673,50969.329000000005,50344.215,50802.832,52208.572,46492.502,47677.886999999995,50636.538
237.0,502620.095,50976.633,51330.503,50627.864,50976.633,50744.738,50541.037000000004,52018.121,46247.632000000005,47767.75399999999,51389.18
238.0,501845.755,50939.128,50713.184,50941.813,50939.128,50550.491,50542.93,52003.490999999995,46424.146,47651.598,51139.846
239.0,501874.691,50941.579,51013.792,51071.217,50941.579,50680.951,50337.977,51947.935,46151.394,47426.512,51361.755000000005
240.0,502660.70200000005,51125.573000000004,51395.051,50903.132999999994,51125.573000000004,50551.804,50066.716,51824.521,46768.761,47799.434,51100.136
241.0,503404.103,50773.782,51225.155,50969.439,50773.782,50488.136,50411.214,52330.536,46743.741,48099.511,51588.807
242.0,504165.3280000001,50942.539,51280.022000000004,51092.619999999995,50942.539,50828.558000000005,50589.362,52178.81,46865.367,48108.883,51336.628
243.0,501624.028,50804.609,50970.236,50498.054000000004,50804.609,50474.518000000004,50879.956999999995,52090.787,46139.096000000005,47831.622,51130.54
244.0,502234.05500000005,50722.87,50934.509,51035.953,50722.87,50058.015,50746.558,52352.297999999995,46669.774,47707.841,51283.367
245.0,504062.06,50721.262,51013.782999999996,50611.07,50721.262,50350.93,50742.524000000005,52776.691999999995,46933.193,48058.033,52133.311
246.0,502873.004,50980.998999999996,50954.638000000006,50653.198000000004,50980.998999999996,50260.458999999995,50728.119999999995,53081.139,46055.996999999996,48186.104999999996,50991.35
247.0,501721.61899999995,50714.354999999996,51182.374,50631.924,50714.354999999996,50516.792,50462.513999999996,52565.272,46239.832,47690.41,51003.791
248.0,503108.976,50715.278,51501.083999999995,50670.469,50715.278,50631.867,50878.981,52553.229999999996,46019.248,47712.629,51710.912000000004
249.0,502518.085,50576.3,51128.577,50668.71,50576.3,50559.151999999995,50566.234000000004,52553.229999999996,46110.358,48427.797,51351.427
250.0,502305.183,50913.545,51041.344000000005,50633.445,50913.545,50306.009000000005,50420.415,52745.286,46081.165,48176.031,51074.398
251.0,504000.122,50943.139,51104.028999999995,50925.208,50943.139,50765.023,50877.304000000004,53102.044,46165.149999999994,47812.645000000004,51362.441
252.0,503045.9540000001,50882.758,51115.74800000001,51193.401,50882.758,50686.407,50792.235,52792.492000000006,46190.256,47337.341,51172.558000000005
253.0,504456.193,51289.127,50972.299,51407.184,51289.127,50577.687,50613.798,52870.643000000004,46465.32,47885.036,51085.972
254.0,503461.931,51080.354,51221.434,50844.68,51080.354,50729.287,50733.274000000005,52538.998999999996,45950.024,47703.752,51579.773
255.0,504693.227,51250.135,51221.434,51024.592,51154.235,50768.504,51379.69300000001,52911.070999999996,46184.289,47352.875,51446.399
256.0,503684.5630000001,50987.437,50921.19,51095.329,50987.437,50891.195,51411.761,52911.070999999996,46232.027,47013.358,51233.758
257.0,503622.5369999999,51115.719,50952.649,50520.046,51115.719,50974.472,51095.734,53006.763,46670.997,46895.97,51274.468
258.0,503113.35599999997,50992.32,50889.465000000004,51033.633,51116.166,50819.126,50609.562,52624.451,46939.740999999995,46983.429000000004,51105.463
259.0,502375.43799999997,50943.713,50977.812999999995,50982.203,50943.713,50926.007,50906.958000000006,52353.189,46128.746999999996,46874.929000000004,51338.166
260.0,503157.983,51079.768000000004,50836.226,51125.329,50897.818999999996,50967.207,51058.629,52185.424,46833.609000000004,47000.083,51173.889
261.0,502571.781,50784.508,51316.828,51196.144,50784.508,50679.71,51394.033,52208.371999999996,46108.134,46864.168999999994,51235.375
262.0,502721.144,50784.508,50922.574,50528.901,50784.508,51072.099,51224.17,52657.97,46598.612,46699.925,51447.877
263.0,503112.90400000004,50967.396,50951.286,50732.863000000005,50772.350000000006,50897.241,50983.808000000005,52671.468,46620.209,47123.527,51392.756
264.0,502205.947,50622.149999999994,50835.374,50743.306,50622.149999999994,50320.788,51118.964,53032.598,46303.545,47229.342000000004,51377.73
265.0,503055.39300000004,50902.394,51123.886,50608.106,50902.394,50688.685,51592.642,52532.409,46385.367000000006,47076.717000000004,51242.793
266.0,503050.06299999997,50998.176999999996,51037.377,50974.128,50795.789,50499.663,51476.44300000001,52474.432,46520.829,47236.0,51037.225
267.0,502583.5669999999,50799.189,51076.996999999996,51091.72,50799.189,50593.477999999996,50991.546,52270.73,46730.767,47368.712,50861.238999999994
268.0,502439.212,50617.551,50853.674,51180.87100000001,50617.551,50643.225999999995,51046.31,52693.621,46653.463,47063.057,51069.888
269.0,504124.295,51237.46,50683.519,51199.375,51237.46,50824.443,50903.865000000005,52760.965,46811.982,47059.423,51405.803
270.0,503893.29299999995,50851.644,51023.714,51115.919,50851.644,50882.942,50945.541,52861.113000000005,46670.968,47264.392,51425.416
271.0,502235.50600000005,50772.387,50945.340000000004,50730.215000000004,50772.387,50891.368,50486.671,52802.911,46723.611,47001.45,51109.166000000005
272.0,503179.55600000004,50936.616,50968.266,50694.273,50936.616,50529.331999999995,50394.844,53022.191999999995,46790.928,47567.990000000005,51338.498999999996
273.0,503310.507,50990.873999999996,50821.229,50740.279,50990.873999999996,50815.92,50551.537000000004,53216.382000000005,46592.503000000004,47186.886,51404.023
274.0,502610.315,50747.602,50662.934,50786.034,50939.093,50721.856,50634.619,52759.827000000005,46382.902,47604.547,51370.901000000005
275.0,503338.712,50979.65700000001,50747.407,50769.878,50979.65700000001,50761.161,51002.892,52775.816,46638.863,47608.896,51074.485
276.0,501099.00100000005,50986.591,50521.693,50587.867000000006,50986.591,50758.962,50771.427,52940.566,45941.941999999995,46751.613,50851.748999999996
277.0,502525.55600000004,50703.899999999994,50786.256,50731.630000000005,51140.064000000006,50749.36,50828.228,52595.441,46601.427,47206.200000000004,51183.05
278.0,503651.136,51094.611,50985.976,51206.06,51094.611,50847.546,50998.28200000001,52747.903,46679.794,47108.373,50887.979999999996
279.0,502280.92400000006,51026.474,50599.915,50756.736,51029.26,50473.635,50834.862,52910.674,47127.606999999996,46681.43,50840.331
280.0,502991.318,50851.559,50960.018,50862.189999999995,50851.559,50375.504,50837.092,53159.746,46841.949,47078.331,51173.369999999995
281.0,503434.01,51072.051999999996,51148.950999999994,50745.202,51072.051999999996,50476.353,50720.239,53022.548,47027.481999999996,46651.482,51497.649000000005
282.0,502379.062,51212.105,50942.918,50460.625,51132.52,50442.172999999995,50842.514,52922.907,46431.403000000006,46475.132000000005,51516.765
283.0,504545.52999999997,51163.663,50942.918,50685.014,51163.663,50583.589,51205.981,52632.422,47464.719000000005,47318.481,51385.08
284.0,502365.582,51336.418000000005,50569.031,50872.016,51108.407999999996,50306.034,50899.159,52515.155,46615.946,47088.84299999999,51054.572
285.0,503506.29099999997,51323.04,50719.629,50836.537,51323.04,50541.756,50684.337,52644.022999999994,47210.609,46921.671,51301.649
286.0,503428.8139999999,51353.468,50590.477999999996,51096.693999999996,51177.831,50117.204,50824.551,52248.013,47089.268,47539.195999999996,51392.111
287.0,503523.38800000004,51232.840000000004,50849.873999999996,50952.894,51232.840000000004,50071.944,51053.833,52543.923,47381.434,47350.595,50853.211
288.0,503301.61500000005,51389.338,50546.113,50658.002,51389.338,50158.878000000004,50481.751000000004,52484.835,47208.922999999995,47468.291,51516.146
289.0,502436.707,51072.973,50740.054000000004,50656.239,51150.47,50158.878000000004,50776.341,52363.939,47262.464,47227.897,51027.452
290.0,501890.39800000004,51153.464,50994.432,50747.86,51153.464,50312.666999999994,50604.705,52480.894,46762.425,47125.424,50555.062999999995
291.0,502751.656,51289.375,50979.765,50872.255000000005,51289.375,50239.536,50727.393,52578.676,46851.206,47378.934,50545.141
292.0,501403.599,50827.602,50726.833,50911.384,50827.602,50387.403999999995,50639.563,52661.664000000004,46933.217,46966.982,50521.348000000005
293.0,502716.038,51321.779,51065.021,50819.545,51321.779,50357.959,50362.197,52543.385,46719.316999999995,47554.888,50650.168
294.0,503739.71499999997,51326.636999999995,51116.832,51036.485,51326.636999999995,50423.22,49941.879,52733.840000000004,46948.84,47431.946,51453.399
295.0,503925.381,51497.21799999999,50979.072,50922.705,51497.21799999999,50286.409,50525.509999999995,52665.344,46494.848,47912.835999999996,51144.221000000005
296.0,504641.60400000005,51547.778999999995,51162.289000000004,51346.898,51547.778999999995,50424.259999999995,50712.361000000004,52448.986,46592.025,47610.463,51248.764
297.0,504415.261,50944.743,50958.052,50878.393000000004,51206.288,50387.18,50557.571,52883.345,47614.485,47626.028,51359.176
298.0,504782.202,51354.09,51026.837999999996,50936.635,51142.282999999996,50635.052,50427.397999999994,52698.524999999994,48057.246999999996,47123.772000000004,51380.362
299.0,504438.368,51495.027,50972.512,51052.907,51468.661,50183.756,50592.078,52698.524999999994,47874.159,47370.115,50730.628000000004
300.0,504064.101,51110.694,50881.664000000004,51083.731999999996,51427.577,50447.181,50737.532,52718.466,46916.979,47491.721,51248.555
301.0,504503.7300000001,51522.182,50748.55,50911.674,51536.437,50315.165,50476.407,52749.994,47157.318,48011.553,51074.45
302.0,502943.43700000003,51037.509,50782.487,50695.059,51187.301,50523.316999999995,50260.803,52748.466,47905.639,46923.861000000004,50878.995
303.0,503243.85299999994,50967.764,51054.262,50516.996,50967.764,50660.568,50592.31,52503.511000000006,47511.158,47478.698000000004,50990.822
304.0,503212.075,51015.737,50985.572,50701.979999999996,51015.737,50749.859000000004,50497.532999999996,52223.123,47404.074,47214.645,51403.815
305.0,503635.784,51171.961,50888.842,50864.676,51171.961,50783.685,50430.782,52379.61,47341.354,47348.526,51254.387
306.0,505256.784,51381.217,51284.472,50760.403,51381.217,50477.737,50815.775,52863.568,47538.799,47205.475999999995,51548.119999999995
307.0,505170.1400000001,51579.191999999995,50805.648,51029.358,51579.191999999995,50327.097,50606.453,52666.476,47654.394,47381.881,51540.449
308.0,505856.894,51325.39,50965.069,51085.712999999996,51325.39,50262.494,50570.324,52794.815,47889.282999999996,47911.117,51727.299
309.0,505974.10699999996,51537.225,51199.086,50688.68,51537.225,50544.409,50395.429,53093.708,47890.676,47833.329,51254.34
310.0,505958.36799999996,51434.131,51385.334,50700.337,51434.131,50693.096,50779.24,52694.892,47563.643,48069.850000000006,51203.714
311.0,504556.355,51227.252,50832.814,50966.445999999996,51227.252,50736.973999999995,51115.965000000004,52915.668,47358.288,47393.116,50782.58
312.0,506186.34700000007,51209.771,51595.315,51098.861999999994,51084.636000000006,50663.106999999996,50684.498,52527.509000000005,47954.363,47896.303,51471.983
313.0,504616.412,51111.115,51033.417,51308.960999999996,50928.018000000004,50721.318,50631.462999999996,52950.126,47620.591,46976.102,51335.301
314.0,505247.50800000003,51075.321,51173.43,51058.344,51000.659,50877.335,50570.094,53240.129,47430.636999999995,47313.721,51507.837999999996
315.0,503984.142,51165.386,50905.806,50914.557,51165.386,50822.625,50657.333999999995,52810.192,47228.015,46854.891,51459.95
316.0,505289.335,51327.468,51494.095,50972.36,51177.345,50429.282,51254.8,52508.882999999994,47698.807,47289.332,51136.963
317.0,504186.426,51104.276,51007.23,50945.225999999995,51104.276,50952.984000000004,50920.138,52508.882999999994,47431.476,47002.037000000004,51209.899999999994
318.0,504628.40799999994,51257.553,50993.246999999996,50495.045,51257.553,50518.382000000005,51261.896,52508.882999999994,47714.555,47000.048,51621.246
319.0,504672.45600000006,51220.777,51255.239,50941.889,51220.777,50520.187999999995,51092.857,52505.231999999996,47427.765,47054.471,51433.261
320.0,504507.392,51362.785,50758.670000000006,50949.345,51362.785,50959.6,50628.808,52180.771,47574.272,47200.654,51529.702
321.0,504506.3059999999,51426.149000000005,51161.459,50772.812000000005,51426.149000000005,50566.68,50870.719000000005,52108.587999999996,47201.746999999996,47220.719000000005,51751.284
322.0,504690.1439999999,50976.081999999995,50881.814,50924.217,51362.418,50877.478,51443.723,52084.288,47424.679,47584.871999999996,51130.573
323.0,504154.166,51259.382000000005,51350.94,51021.189999999995,51283.248,50475.98,51182.079000000005,51919.854999999996,47501.373999999996,47014.527,51145.591
324.0,504690.096,51259.564,50894.076,51237.831999999995,51259.564,50652.528,50863.166,52011.097,47971.924,47649.679,50890.666000000005
325.0,503559.51,50923.783,50920.498,50937.059,50923.783,50455.299,50824.926,51683.318999999996,48060.425,47231.776000000005,51598.642
326.0,503460.975,51010.003,51353.928,50838.914000000004,51010.003,50496.704,50919.399,52236.817,47397.316,47126.473,51071.418
327.0,503538.04099999997,50918.043,51322.64,50962.904,51036.18,50140.962999999996,50901.991,52226.767,47936.685,47146.977,50944.890999999996
328.0,504932.79000000004,51434.102000000006,51057.97900000001,51013.088,51434.102000000006,50203.64,50821.467,52366.987,47648.42,47615.701,51337.304000000004
329.0,503814.738,50786.617,51023.55699999999,50716.809,51137.853,50159.697,51157.263,52255.740000000005,48232.486000000004,47502.734,50841.982
330.0,504557.33199999994,51071.784,51341.175,50882.973,51145.597,50455.988,50965.935000000005,52496.932,48043.484,47656.945999999996,50496.518000000004
331.0,504380.76300000004,51461.198000000004,51235.774,50796.532999999996,51461.198000000004,50251.089,51000.523,52328.678,47764.719,47333.233,50747.818
332.0,504568.69299999997,51409.700000000004,51082.676,50842.809,51502.921,50484.549999999996,51187.626000000004,52081.462,48419.772000000004,46599.652,50957.524999999994
333.0,503781.2579999999,51140.288,51196.922,50985.549,51140.288,50417.536,51398.492,52166.263,47774.602999999996,47157.888,50403.429000000004
334.0,502630.5179999999,50697.049999999996,51222.462,50797.5,50697.049999999996,50509.077,50763.665,52193.765999999996,47887.903,47236.001000000004,50626.044
335.0,502805.189,50671.424,51063.008,50899.630000000005,50790.393000000004,50240.714,51038.407999999996,52150.647999999994,47530.883,47464.037,50956.044
336.0,504829.23399999994,51529.432,51165.161,50892.947,51529.432,49947.69,51048.703,52275.289000000004,48122.723,47417.00199999999,50900.855
337.0,504765.01800000004,51249.172,50971.371,51098.643000000004,51265.729999999996,50386.127,50736.664,52344.989,48481.721,47450.002,50780.599
338.0,503293.799,51096.328,51320.774,51039.097,51096.328,50020.924,51001.632,52118.043,47988.016,46983.344000000005,50629.313
339.0,505311.494,51244.393000000004,51077.215000000004,51069.681000000004,51244.393000000004,50734.164,50977.493,52157.638,48300.749,47286.44,51219.327999999994
340.0,503734.416,51126.943,51189.091,50907.195999999996,51126.943,50339.427,51095.491,52254.899000000005,47992.209,46928.409,50773.808000000005
341.0,503309.149,50943.416,50947.804,50795.168,50943.416,50272.635,50987.545,52425.907,47924.738,47121.084,50947.436
342.0,503224.586,50751.682,51054.778,50649.241,50751.682,50231.187,50852.967,52207.797999999995,48530.758,47343.763000000006,50850.729999999996
343.0,504440.02099999995,51124.673,50667.248999999996,50771.5,51124.673,50301.646,51278.903,52560.141,48069.187999999995,47335.367,51206.681000000004
344.0,505861.273,51394.096,51079.162,50928.576,51394.096,50691.011000000006,51121.902,52599.962,48350.375,47262.38,51039.712999999996
345.0,505771.76700000005,50976.398,51247.902,50778.008,50976.398,50780.361,51095.932,52885.308000000005,48677.785,47326.238,51027.437
346.0,503950.47,50892.766,50929.675,50500.956000000006,51366.979999999996,50508.781,50893.658,52419.364,48093.937,47111.781,51232.572
347.0,503978.544,50945.97,50706.986,50668.735,50945.97,50367.896,50752.812,52169.021,48813.920000000006,47558.346,51048.888
348.0,502999.39699999994,50456.14,50935.532,50731.265999999996,50456.14,50533.296,50923.561,52179.80699999999,48813.920000000006,46814.755,51154.98
349.0,504007.07399999996,50790.125,50979.923,50704.797,50790.125,50553.903,50973.113,52500.341,48302.594999999994,47439.282,50972.87
350.0,503528.65300000005,50867.693,50940.240000000005,50656.733,50867.693,50122.367,51123.866,52587.724,48214.856,47588.315,50559.166
351.0,503589.002,51266.327,50927.513,50846.527,50696.238,50064.112,50708.89,52913.024999999994,48489.511999999995,46935.78999999999,50741.068
352.0,503342.837,51117.842000000004,50781.9,50768.490999999995,51144.46,49983.522,50722.191,52913.024999999994,48586.767,46543.57,50781.069
353.0,504325.476,50908.374,50991.194,50918.44300000001,50872.371,50513.976,51053.202,52664.879,48678.077000000005,46987.512,50737.448000000004
354.0,504517.55000000005,50866.028,51188.135,50494.100000000006,50866.028,50517.865999999995,51044.036,52664.879,48731.884999999995,47325.407,50819.186
355.0,504793.626,50615.946,51390.666000000005,50443.08,51134.282,50284.166,51337.648,52696.577,48623.494999999995,46998.06800000001,51269.698
356.0,504157.2160000001,50522.248,50913.995,50888.278,50641.347,50405.955,51304.21,52707.523,48691.989,46882.465000000004,51199.206
357.0,504778.99199999997,50798.496999999996,51243.502,50832.837,50965.975,50521.952,51360.337,52666.346,48659.849,46677.033,51052.664
358.0,505021.57,50931.239,50946.015,50875.629,50950.234000000004,50322.075,51037.337,52732.118,49382.199,46842.979,51001.745
359.0,506229.667,51310.236000000004,51290.014,50783.340000000004,51238.721,50212.116,51605.255,52418.939,48754.39,47345.663,51270.992999999995
