Location_m,Time_seconds
0,15.72
20,46.72
40,77.14
60,106.89
80,136.85
100,169.26
120,199.98
140,229.92
160,260.56
180,290.82
200,324.24
220,356.44
240,393.1
260,423.21
280,453.51
300,484.87
320,515.05
340,546.36
360,577.26
