Location_m,Time_seconds
0,0.811940345
20,6.56733112
40,18.34546776
60,28.4608165
80,36.40136447
100,40.9171944
120,48.49393612
140,61.37168934
160,68.44885763
180,84.51139235
200,90.03347271
220,105.3731196
240,121.3639572
260,136.9278787
280,145.9161645
300,157.5755059
320,163.4261557
340,178.1489733
360,191.3090393
380,204.9709016
400,219.3932641
420,229.2695931
440,243.3111162
460,257.4534945
