Country Name,Country Code,Number of Countries,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
East Asia & Pacific,EAS,37,GDP (current US$),NY.GDP.MKTP.CD,1.54609E+11,1.55145E+11,1.58361E+11,1.76701E+11,2.0268E+11,2.25584E+11,2.52066E+11,2.73139E+11,3.01156E+11,3.46806E+11,4.08832E+11,4.53656E+11,5.62923E+11,7.41777E+11,8.54578E+11,9.35691E+11,1.02871E+12,1.22582E+12,1.54657E+12,1.67975E+12,1.81575E+12,2.00166E+12,1.96211E+12,2.08767E+12,2.23573E+12,2.35913E+12,3.08207E+12,3.61892E+12,4.35405E+12,4.53523E+12,4.73713E+12,5.3481E+12,5.84365E+12,6.53496E+12,7.40244E+12,8.40547E+12,8.09932E+12,7.74287E+12,6.92821E+12,7.73865E+12,8.37314E+12,7.78701E+12,7.90958E+12,8.69626E+12,9.75349E+12,1.0406E+13,1.1028E+13,1.23218E+13,1.42065E+13,1.46193E+13,1.70633E+13,1.97887E+13,2.11712E+13,2.14098E+13,2.20853E+13,2.19971E+13,2.27721E+13,2.43252E+13,2.6481E+13,2.70241E+13,2.71187E+13,3.08808E+13
Europe & Central Asia,ECS,58,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,7.39424E+11,7.96313E+11,8.32994E+11,9.21346E+11,1.01917E+12,1.14941E+12,1.37714E+12,1.74917E+12,1.97669E+12,2.30926E+12,2.40013E+12,2.72027E+12,3.32E+12,4.0614E+12,4.60031E+12,4.09433E+12,3.94558E+12,3.82764E+12,3.67888E+12,3.80712E+12,5.1964E+12,6.42114E+12,7.14751E+12,7.24283E+12,8.86089E+12,9.14157E+12,9.80129E+12,9.00287E+12,9.41318E+12,1.08719E+13,1.10963E+13,1.05211E+13,1.07947E+13,1.06748E+13,1.00626E+13,1.0163E+13,1.11335E+13,1.35375E+13,1.57769E+13,1.67845E+13,1.81785E+13,2.12457E+13,2.33754E+13,2.05612E+13,2.10258E+13,2.33141E+13,2.24623E+13,2.34812E+13,2.38119E+13,2.05133E+13,2.04537E+13,2.16802E+13,2.32241E+13,2.29416E+13,2.21339E+13,2.50469E+13
Latin America & Caribbean,LCN,42,GDP (current US$),NY.GDP.MKTP.CD,84505840124,89564538264,98133168724,1.00056E+11,1.10927E+11,1.19246E+11,1.31288E+11,1.33958E+11,1.43783E+11,1.60654E+11,1.75225E+11,1.95451E+11,2.19829E+11,2.92395E+11,3.7905E+11,3.97544E+11,4.36006E+11,4.78838E+11,5.42932E+11,6.44201E+11,7.82817E+11,8.94411E+11,8.29143E+11,7.26335E+11,7.26499E+11,7.22728E+11,7.22905E+11,7.61768E+11,8.51043E+11,9.28604E+11,1.10768E+12,1.18929E+12,1.29856E+12,1.50685E+12,1.76897E+12,1.92144E+12,2.07962E+12,2.28006E+12,2.30035E+12,2.07581E+12,2.29234E+12,2.24316E+12,2.01406E+12,2.05524E+12,2.3678E+12,2.86267E+12,3.35101E+12,3.94825E+12,4.5899E+12,4.31288E+12,5.34712E+12,6.08599E+12,6.15058E+12,6.30226E+12,6.42593E+12,5.36984E+12,5.24793E+12,5.83076E+12,5.70184E+12,5.62361E+12,4.74315E+12,5.48872E+12
Middle East & North Africa,MEA,21,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,44425424090,49164893255,55582823710,65781993991,79687086014,1.07908E+11,2.01523E+11,2.22828E+11,2.8169E+11,3.27513E+11,3.49638E+11,4.58975E+11,5.94417E+11,6.15464E+11,6.14556E+11,6.22071E+11,6.3435E+11,6.50889E+11,6.68547E+11,6.15589E+11,5.83499E+11,6.05931E+11,8.00911E+11,5.60573E+11,6.1253E+11,6.21841E+11,6.55963E+11,7.39588E+11,8.36066E+11,8.796E+11,8.60091E+11,9.33774E+11,1.04643E+12,1.04116E+12,1.03574E+12,1.14851E+12,1.35662E+12,1.63256E+12,1.91315E+12,2.25954E+12,2.81729E+12,2.54472E+12,2.97306E+12,3.35572E+12,3.61457E+12,3.55316E+12,3.56938E+12,3.14063E+12,3.16863E+12,3.2963E+12,3.45909E+12,3.46522E+12,3.1069E+12,3.63673E+12
North America,NAC,3,GDP (current US$),NY.GDP.MKTP.CD,5.83846E+11,6.04324E+11,6.47422E+11,6.83726E+11,7.35285E+11,7.9833E+11,8.76223E+11,9.27524E+11,1.01448E+12,1.09921E+12,1.16139E+12,1.26433E+12,1.39243E+12,1.55697E+12,1.70596E+12,1.85908E+12,2.08037E+12,2.29389E+12,2.57071E+12,2.87092E+12,3.13177E+12,3.51399E+12,3.65808E+12,3.97548E+12,4.39397E+12,4.70477E+12,4.95824E+12,5.28783E+12,5.74521E+12,6.20814E+12,6.55867E+12,6.77009E+12,7.11439E+12,7.43755E+12,7.86724E+12,8.24581E+12,8.70436E+12,9.23547E+12,9.69995E+12,1.03129E+13,1.09992E+13,1.13246E+13,1.16937E+13,1.23562E+13,1.32484E+13,1.42172E+13,1.5141E+13,1.59498E+13,1.63298E+13,1.58593E+13,1.66729E+13,1.73994E+13,1.80887E+13,1.86963E+13,1.93628E+13,1.97692E+13,2.023E+13,2.1136E+13,2.22597E+13,2.3122E+13,2.2546E+13,2.49939E+13
South Asia,SAS,8,GDP (current US$),NY.GDP.MKTP.CD,47170699608,50331770781,53721519494,60426255395,69179494304,74296512695,62475116959,68733357254,72039818017,79195490146,85737283040,91195879602,91680529303,1.04813E+11,1.26972E+11,1.35908E+11,1.32648E+11,1.536E+11,1.74774E+11,1.95751E+11,2.36032E+11,2.50214E+11,2.58869E+11,2.74033E+11,2.72758E+11,2.96599E+11,3.14128E+11,3.48794E+11,3.7479E+11,3.78225E+11,4.07187E+11,3.62263E+11,3.84734E+11,3.811E+11,4.32324E+11,4.7985E+11,5.2497E+11,5.50712E+11,5.58425E+11,5.98324E+11,6.30429E+11,6.4587E+11,6.77627E+11,7.91003E+11,9.17089E+11,1.05059E+12,1.19609E+12,1.50419E+12,1.52747E+12,1.68343E+12,2.06078E+12,2.2745E+12,2.30009E+12,2.35961E+12,2.58456E+12,2.69943E+12,3.00524E+12,3.42679E+12,3.52731E+12,3.64873E+12,3.48247E+12,4.08777E+12
Sub-Saharan Africa,SSF,48,GDP (current US$),NY.GDP.MKTP.CD,31167737397,32423376601,35082238991,40106482678,39377500626,43827107648,47271630525,46967009988,50270276288,57400955519,67416593875,68823488219,77406276178,98951233386,1.28373E+11,1.41448E+11,1.52566E+11,1.6753E+11,1.85074E+11,2.22022E+11,2.81044E+11,3.88113E+11,3.56663E+11,3.13937E+11,2.74921E+11,2.5373E+11,2.60482E+11,2.96284E+11,3.12449E+11,3.18364E+11,3.7399E+11,3.89443E+11,3.55487E+11,3.34121E+11,3.25008E+11,3.76408E+11,3.92917E+11,4.07872E+11,3.9473E+11,3.98612E+11,4.23078E+11,4.05973E+11,4.4129E+11,5.56175E+11,6.91515E+11,8.21319E+11,9.68222E+11,1.12196E+12,1.27471E+12,1.22602E+12,1.45175E+12,1.63506E+12,1.7004E+12,1.80473E+12,1.86867E+12,1.68499E+12,1.5729E+12,1.7044E+12,1.73271E+12,1.79208E+12,1.70609E+12,1.9179E+12
