GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
" ""32000""",Nevada,8,SAGDP1,3,...,Current-dollar GDP (millions of current dollars),Millions of current dollars,60259.1,65114.2,71595.9,76833.1,80429.2,85008.7,90633.6,103231,116166.2,125848.3,131620.9,130609.5,122127.1,124669.4,127677.9,129312.9,132086.4,136008.7,145115.9,151840.4,160785,170352.9,181743.3,170943.8
" ""20000""",Kansas,4,SAGDP1,3,...,Current-dollar GDP (millions of current dollars),Millions of current dollars,74662.3,78382,81883.8,86099,88883.6,91584.2,95359.9,99083,105526.3,114091.9,123878.7,128604.3,125348.9,128591.3,136358.9,141818.2,144483.2,150183.6,154958.2,160451,164923.3,172327.5,176738.5,175141.8
" ""40000""",Oklahoma,6,SAGDP1,3,...,Current-dollar GDP (millions of current dollars),Millions of current dollars,79044.4,81196.9,84223.9,91093.9,97059.6,99479.2,105713.5,113873.8,125081.6,137436.5,145752.1,160763.7,146633,154287.4,166235.8,174874.4,182694.7,196631.6,186815.6,181244.4,190674.5,202466.6,203699.7,188056.6
" ""19000""",Iowa,4,SAGDP1,3,...,Current-dollar GDP (millions of current dollars),Millions of current dollars,82720.4,84644,87782.4,93112,94837.8,98557,105123.3,117188.5,123190.9,127896.3,137930.2,137548.5,136894.6,142233.9,148477.6,158538.4,162200.3,173095.9,180299.3,181011.4,183549.8,190403.1,194322.6,194267.6
" ""49000""",Utah,7,SAGDP1,3,...,Current-dollar GDP (millions of current dollars),Millions of current dollars,57684,62296.1,66019.3,70295.9,73057.6,75796.9,78945.4,86081.9,95355.1,106537.3,114813.4,117178.9,113985.4,118669.8,125565,129512.5,135450.4,142150.1,149153.4,157827.3,168058.4,182643.6,195088.4,197561.9
" ""21000""",Kentucky,5,SAGDP1,3,...,Current-dollar GDP (millions of current dollars),Millions of current dollars,104546.2,109382.3,115106.8,114169.2,117647.9,122435.3,127982.2,135529.3,145011.1,153408.4,157163.7,159883.8,157479.8,166408.7,171586.9,178143.7,184524.4,187983.8,193413.1,196484.9,201555,208250.3,216101.5,212539.6
" ""01000""",Alabama,5,SAGDP1,3,...,Current-dollar GDP (millions of current dollars),Millions of current dollars,104811.9,110212,115680.1,119851.7,122915.5,127505,134152.6,147715.2,158846.8,166469,172975.2,174526.3,170930.9,177249.2,183916.6,189245.5,194786.9,197406.9,202372.4,207368.4,215085.9,224046.9,231171.8,226896.5
" ""22000""",Louisiana,5,SAGDP1,3,...,Current-dollar GDP (millions of current dollars),Millions of current dollars,116313.2,120198.1,125807.3,132640.8,137901.2,139800.9,155092.4,171006.1,199594.7,207773.8,203041,212392.4,204906.9,225308.9,229945,235384.7,230832.5,240737.3,235113.5,227090.7,241704.2,255810.3,254562,235437.4
" ""41000""",Oregon,8,SAGDP1,3,...,Current-dollar GDP (millions of current dollars),Millions of current dollars,100914.8,105146.8,107621.5,117154.6,116963.6,120665.5,126671.5,135646.8,143507.8,153593.1,159585.2,164925.4,159607.3,164137.2,170630.9,174611,179527.7,188120.7,200659.6,211305.9,222613.8,237066,246647.1,243776.8
" ""45000""",South Carolina,5,SAGDP1,3,...,Current-dollar GDP (millions of current dollars),Millions of current dollars,97425,103456.3,110241.7,115320.6,119478.1,124863.9,131566.5,136982,145403.6,153647.7,162746.3,163886.2,161813.5,165860,172075.1,177618.1,185009.1,194352.7,205816.7,215120.2,223044.9,233665.3,244662.3,244881.7
" ""09000""",Connecticut,1,SAGDP1,3,...,Current-dollar GDP (millions of current dollars),Millions of current dollars,138331.8,145475.5,152287.5,165614.3,171216.6,173248.3,178702.2,195354.9,205214.6,219768.4,234540.7,238936.8,233290.7,234700,233158.7,240911.9,241517.4,246597,259487.8,263670.3,271582.6,280692,288109.1,276422.9
" ""29000""",Missouri,4,SAGDP1,3,...,Current-dollar GDP (millions of current dollars),Millions of current dollars,163175.6,169483.4,177738,186650,190657.1,197557.7,205588.5,217084.2,227971.3,236386,244331.3,254045.8,253317.7,259816.1,262067.1,271535.1,280571,287507.5,296929.3,300914.5,308722.1,319393.9,332272.9,329367.2
" ""55000""",Wisconsin,3,SAGDP1,3,...,Current-dollar GDP (millions of current dollars),Millions of current dollars,153431.7,162609.3,172224.1,180427.3,188163.1,194658.8,203339.2,215537.1,227297,237569.3,245839.5,246814.5,247210,256432.9,266364.4,277107.1,284270.9,295696,307507.9,314073.3,318364.2,332263.5,344724.8,337714
