Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
St. Vincent and the Grenadines,VCT,GDP (current US$),NY.GDP.MKTP.CD,13066557.78,13999883.33,14524878.96,13708219.1,14758210.35,15108207.43,16099865.83,15835177.93,15350000,16650000,18450000,20051648.18,27585488.99,30165373.62,32924215.86,33237164.72,32792480.97,49353161.85,60844771.48,71096359.63,82340339.63,102086539.3,113759203.3,122255349.6,135024987.8,145641705.2,160846656.7,175580647.4,200726712.6,214745002.2,240366666.7,254829629.6,277955555.6,286307407.4,289437037,316007407.4,331488888.9,347770370.4,373618518.5,390718518.5,427946038.7,462072315.6,487763848.9,509090899.1,549900170.1,579948909.3,643501156.9,713596662.2,732663263.5,714300243.8,720447880.2,713796368.7,730032600.1,764781242.7,770901436.4,786554580.8,814302267.1,847620214.8,884328180.5,910149698.9,872134546.8,889775243.4
Vanuatu,VUT,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,,,119258835.3,121185497.6,113781795.8,114501912.5,117389554.2,144482515.4,131856420.7,126498935.3,139464173.5,158351368.4,154013202.1,168879207.2,201334169.1,209088824.6,200491853.2,233701301.5,249333250.1,261370044.5,272771209.1,262293410.7,268006972.7,272014693.1,257926881.7,262596597.8,314471328.1,364996869.1,394962552.3,439376794.1,516392922.5,590748237,592622502.4,670713208.1,770153304.2,747839697.7,758304466.2,772315721.3,730870581.7,780889605.9,880062103,914736985.4,936526267.6,896827873.1,983469256.8
Turks and Caicos Islands,TCA,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,358744800,366707910,409753640,485598810,578645760,721891470,773489740,862683630,703175750,686787810,728789570,727161000,754238000,841070000,942070000,1032452000,1022365000,1113178000,1197415000,924583000,943269768
St. Kitts and Nevis,KNA,GDP (current US$),NY.GDP.MKTP.CD,12366563.61,12483229.31,12541562.15,12833226.39,13416554.86,13593932.32,14469078.18,16742338.25,14600000,15850000,16300000,19624746.45,22944849.12,24196018.38,31514856.31,33364055.3,30095602.29,44496296.3,49433333.33,58840740.74,68459259.26,80888888.89,86022222.22,86874074.07,98603703.7,111007407.4,130685185.2,147748148.1,172692592.6,192518518.5,217259259.3,220540740.7,242137037,263755555.6,295159259.3,313485185.2,333944444.4,374641308,383257331.4,406595484.4,421695769.8,458643829,481077373.7,469869869.9,506900000,547203703.7,644414814.8,689285185.2,777691333.3,774273111.1,778718111.1,836092407.4,826231629.6,875376407.4,954062481.5,958407222.2,1008942296,1060638333,1078505889,1164877852,980905888.9,976150666.7
Grenada,GRD,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,71494495.19,88322386.3,102244362.2,110900457,115651918.9,125435590,131803552.2,145533310.7,167728455.2,187589522.6,215009569.6,236357523.7,267327642.2,278098763,300757888.9,310160444.4,309812185.2,325111814.8,342172518.5,366911444.4,392190592.6,445903592.6,482009370.4,520044370.4,520444185.2,540336925.9,591018407.4,599118592.6,695555555.6,698700666.7,758683592.6,825976037,771275555.6,771013259.3,778655925.9,799882259.3,842620111.1,911497407.4,997007925.9,1061640741,1125685185,1166523556,1213485185,1043411111,1122083185
Seychelles,SYC,GDP (current US$),NY.GDP.MKTP.CD,12012012.01,11592011.59,12642026.57,13923029.26,15393032.35,15603032.8,16443034.56,16632032.81,16074027.35,16452027.99,18432031.36,21965951.72,30645121.01,36896278.22,43134498.69,47803145.96,49278979.55,64526398.66,85552369.91,127261099.2,147357222.8,154902869,147912069.8,146712850.5,151313242,168887539.1,207850623.6,249267039.8,283828769,304832867.4,368584758.9,374359556.1,433667193.8,473916819.5,486451204.6,508221508.2,503068472.2,562958836.5,608369282.2,622985493.7,614879764.8,622262057.2,697518248.2,705704816,839319927.3,919103254.5,1016418229,1033561654,967199594,847397850.1,969940010.2,1065823923,1059496470,1328089686,1387577763,1415998663,1490226454,1573428277,1636310049,1684228529,1200634489,1320053793
Comoros,COM,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,212218226.4,196349967.7,184008995.6,191621958.4,184697210,196726077.1,279197696.8,337525870.6,356500026.7,341476764,429622147.7,424108796.6,457388578.9,452881443.1,319189200.4,398461789.6,396053797.6,364445589.7,370106776,382454989.9,351136568.4,378512003.4,425964697.4,546885185,633706149.3,653845122.9,698431827.7,795673128.5,915659192.8,905341090.6,907978723.5,1023086184,1015843369,1116224161,1149587652,966029542,1012835518,1077439663,1188797575,1195019559,1223876065,1327964249
Antigua and Barbuda,ATG,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,77496753.7,87879341.48,109079978.9,131431026.7,147841734.4,164369278.9,182144093,208372846.3,240923924.8,290440140.7,337174861.9,398637727.8,438794788.5,459470370.4,481707407.4,499281481.5,535174074.1,589429629.6,577281481.5,633729629.6,680618518.5,727859259.3,766200000,826370370.4,800481481.5,814381481.5,856396296.3,919729629.6,1022962963,1157662963,1312759259,1370070370,1228329630,1148700000,1137637037,1199948148,1181448148,1249733333,1336692593,1436585185,1467977778,1605944444,1687533333,1370281481,1471125926
Guinea-Bissau,GNB,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,78733594.84,78540057.14,87702828.57,89374237.29,98775328.95,108985740.2,112386489,114971207.2,122666858.8,118537875.1,110653830.7,154731969.7,165523634.5,163577538.3,138478900.6,143856253.1,130225018.8,173836362,164458120.3,213143016.4,243961995.5,257150374.1,226313443.7,236880821.7,235620043.5,253966922.3,270419779.4,268550998.2,206457544.5,224446663.8,371095510,392621385.9,417806667.1,477458598.7,532062927.4,587029054.4,592365688.1,696910810.9,868154708.5,830126470,849878424.2,1099818652,989271229.6,1046087418,1054915645,1048229629,1179004941,1350177128,1504630121,1439638443,1431758243,1638517533
San Marino,SMR,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1109098658,1005159388,1077413479,1168269231,1464326161,1723750000,1785847531,1908167106,2185874624,2393437820,2056126702,1881214371,1813752784,1604779648,1678841812,1673973695,1419394763,1468377242,1528630705,1655300897,1616231696,1544713785,
Solomon Islands,SLB,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,25203524.03,28084252.76,28606411.4,,50056882.82,40606712.05,55272108.84,84539332.28,74617096.48,83099107.91,93147039.25,111022090,151270207.9,182852054.2,193750476.5,192901942.9,181220349.8,181570454.3,165524980.9,147620047.5,155128568,176494422.1,172882435.8,214877638.4,227536282.6,269034595.8,300749474.5,402831864.9,469443201.5,510580417.2,526559955.9,457584496.2,488028751,419845231.8,409507389.2,346405301.7,352531728.4,397557524,476836691.1,538614679,620211238.9,699203616.5,735997355.7,846767635.9,1049889692,1191045573,1284763287,1335584912,1307082934,1378543909,1483793468,1574622018,1570093229,1545888426,1645213882
Belize,BLZ,GDP (current US$),NY.GDP.MKTP.CD,28071888.56,29964370.71,31856922.86,33749405.01,36193826.12,40069930.07,44405594.41,47379310.34,44910179.64,47305389.22,53233532.93,59207317.07,66062500,78343558.28,103216374.3,118066298.3,96905829.6,117650000,136300000,151800000,197938222.4,196089854.7,182206327,192103186,214381949,212643742.7,231638320.5,281082558.6,320093360.3,369133890.7,412086445.5,444720750,518559700,560205300,581269550,620422500,641660000,654582900,689140000,732732350,832072450,871590369.3,932292858.9,990727709.5,1057653620,1111453824,1211148305,1283112550,1352588868,1320605472,1387925188,1466822039,1531348953,1581844936,1676406802,1734320479,1796928937,1844906693,1887465218,1945250236,1585631670,1789923264
St. Lucia,LCA,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,170370370.4,194444444.4,183333333.3,197037037,251481481.5,284444444.4,340000000,375555555.6,429629629.6,486666666.7,579629629.6,613703703.7,674074074.1,684814814.8,713703703.7,762962963,788888888.9,805925925.9,877407407.4,921851851.9,932592592.6,892592592.6,900000000,987407407.4,1066666667,1135555556,1268319185,1336088815,1437731111,1401507889,1486758037,1576988407,1605146778,1664816741,1755130815,1808079889,1865513430,1996771441,2065127263,2118791548,1616772748,1764901133
Cabo Verde,CPV,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,142246875.5,139468114.6,140630758.6,138476239.4,132019065,137728155.2,190651208,235253171.8,264308140.3,267448513.1,306891107.3,319827058.6,357160985.3,490417389.7,406580652.3,487148993.5,501979069.3,490608657.9,521910560.5,592416703.1,539227277.6,563024383.3,620974660.2,813963830.2,924318490.8,971977088.2,1107891063,1513933983,1789333749,1711817182,1664310770,1865915544,1741809809,1850470042,1859898513,1596800287,1663008687,1769787215,1966501118,1981845741,1703698677,1936174043
"Gambia, The",GMB,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,44212353.7,46695363.16,41160658.57,45168722.7,52296836.75,55728608.97,59161545,75187969.92,95797533.46,115182522.1,112189468.5,138094243.3,171836793.4,207114382.5,241080708.9,218764445.8,216051496,213446562.6,177338801.9,225724851.7,185646209.4,220626484.2,266673126.2,284119692.5,317083373.5,690314321.4,714255460.5,755042548.1,746491692.6,785996982.5,848237108.6,803630742.5,840285264.6,814723460.1,782915402.4,687408804.6,578236035.1,487038821.6,961900106.9,1027702254,1054113427,1279704745,1561763437,1450140386,1543292393,1409694554,1415006238,1375608956,1229460602,1378176868,1484579844,1504909753,1670670669,1813608280,1830413000,2078070684
Timor-Leste,TLS,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,367087900,477443500,469506700,490439100,440764600,462283600,453805100,542795400,648492700,726882400,881827800,1042411500,1160389500,1395519600,1447307100,1594410900,1650618500,1615609700,1583876200,2047931700,1902156800,1959134744
Lesotho,LSO,GDP (current US$),NY.GDP.MKTP.CD,34579308.41,35699286.01,41859162.82,47039059.22,51938961.22,54878902.42,56698866.02,59260814.78,61444771.1,65966680.67,68738625.23,76482102.91,80915831.92,121181556.2,150846210.4,149560513.9,147654093.8,193307267.7,266559337.6,290142517.8,431561376.5,434188034.2,348746822.6,386699308.9,333158476.2,268626912.5,318862888.4,402774852.7,470389179.7,495404888.1,596415104.5,704329192.8,831033941.1,835592802.3,878250450.6,1001889857,946123275.9,997996028.6,928458206,912771290.6,887295267.9,825706961.2,775780697.7,1157832935,1511236656,1682350935,1800105590,1682016947,1766825413,1740830511,2234731974,2579421686,2477702253,2367113170,2441053176,2359759799,2114020380,2306185361,2514146888,2451257579,2250717718,2518468891
Bhutan,BTN,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,128717410.9,139150441.3,141366534.5,156687192.1,160459970.5,163272314.8,191230747.1,242770861.6,272241005.2,264725207,287658184,240319995.6,240215763.9,225998091.2,258985597.7,290464801.1,303435517.9,352260952.9,363452787.2,399268801.7,424464089.9,461444513.7,520849551.5,604041957.9,682523857,796938120.2,874989895.6,1168308517,1227808791,1234014292,1547991318,1777101317,1781281282,1756215665,1907090813,2003598213,2158972129,2450364928,2446866405,2535657069,2315436303,
Central African Republic,CAF,GDP (current US$),NY.GDP.MKTP.CD,112155598.9,123134584.5,124482748.9,129379097.9,142025069.5,150574816.3,157930041.9,163820538.9,191767437,188039191.3,189106554.5,201450768.4,230317908,271183061.4,281398668.2,378660016.3,451152450,507298120.7,610578523.8,700764892.7,797048028.8,694803502.7,748312283.7,658679394.9,637820620.7,864849765.1,1122265026,1200991826,1264899368,1233930277,1440711396,1377375031,1411917558,1278781167,851174350.6,1115389732,1007791186,937741468,967338348.7,999477510.7,916777282.7,932648604.4,996068145.6,1142315522,1272360517,1337894380,1461859763,1699811293,1993407887,2067381664,2142591376,2437982840,2510126699,1691544192,1894813505,1695825708,1825018191,2072349974,2220978978,2221301401,2326720921,2516498299
Curacao,CUW,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2933128492,3024525140,3039944134,3048435754,3042737430,3014748603,3009497207,3020388817,2995185487,2496174736,
Aruba,ABW,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,405586592.2,487709497.2,596648044.7,695530726.3,764804469.3,872067039.1,958659217.9,1083240223,1245810056,1320670391,1379888268,1531843575,1665363128,1722905028,1873184358,1896648045,1962011173,2044134078,2254748603,2359776536,2469832402,2677653631,2843016760,2553631285,2453631285,2637988827,2615083799,2727932961,2791061453,2963128492,2983798883,3092178771,3202234637,3310055866,2496648045,
Burundi,BDI,GDP (current US$),NY.GDP.MKTP.CD,195999990,202999992,213500006,232749998,260750008,158994963,165444571.4,178297142.9,183200000,190205714.3,242732571.4,252842285.7,246804571.4,304339839.6,345263492.1,420986666.7,448412753.6,547535555.6,610225555.6,782496666.7,919726666.7,969046666.7,1013222222,1082926304,987143931.2,1149979286,1201725497,1131466494,1082403219,1113924130,1132101253,1167398478,1083037671,938632612,925030590.2,1000428394,869033856.3,972896267.9,893770806.1,808077223.4,870486065.9,876794723.1,825394490.2,784654423.6,915257323.4,1117113046,1273375020,1356199365,1611835902,1781455092,2032135247,2235820868,2333341375,2451606684,2705783272,3104003611,2639321196,2712324087,2660123624,2581268126,2780510625,2902029386
Suriname,SUR,GDP (current US$),NY.GDP.MKTP.CD,99650000,107700000,116150000,125950000,134400000,154150000,190350000,220700000,241350000,259650000,274900000,301000000,311950000,339450000,409850000,465500000,505500000,641500000,735500000,782500000,795000000,889000000,915000000,883500000,864000000,873000000,891000000,980000000,1161000000,542600000,388400000,448100000,404600000,428764705.9,605492537.3,691590497.7,861411471.3,926422500,1110850000,886290697.7,947671969.7,834279357.8,1093574468,1274190311,1484092538,1793388732,2626380435,2936612022,3532969035,3875409836,4368398048,4422276622,4980000000,5145757576,5240606061,5126291451,3317438911,3591623596,3996247906,3984483762,2884248048,2862131980
